area_sft,attach_bathrooms,balcony,bedrooms,common_bathrooms,floor,floor_type,location,parking_space,price_per_sft,property_type
980,2,2,3,,8th,,"Mirpur, Dhaka, Bangladesh",,Negotiable,Apartment
920,2,2,3,,8th,,"Mirpur, Dhaka, Bangladesh",1,Negotiable,Apartment
2650,2,2,4,1,3rd,,"Gulshan 1, Dhaka, Bangladesh",1,"13,300.00৳",Apartment
650,1,1,2,1,4th,,"Mirpur, Dhaka, Bangladesh",,"3,384.00৳",Apartment
1547,2,2,4,1,1st,,"Gulshan 1, Dhaka, Bangladesh",1,"12,000.00৳",Apartment
2460,3,3,3,1,4th,,"Gulshan 2, Dhaka, Bangladesh",1,Negotiable,Apartment
2730,2,4,3,1,4th,,"Gulshan 1, Dhaka, Bangladesh",2,Negotiable,Apartment
1800,2,1,3,1,Ground,,"Gulshan 1, Dhaka, Bangladesh",1,"9,000.00৳",Apartment
3500,4,4,4,1,5th,,"DOHS Banani, Dhaka, Bangladesh",2,"18,500.00৳",Apartment
1400,3,3,3,,2nd,,"Paltan, Dhaka, Bangladesh",1,Negotiable,Apartment
3953,4,4,4,,3rd,,"Gulshan 2, Dhaka, Bangladesh",,"22,000.00৳",Apartment
5,3,,3,,5th,,"Lalbag, Dhaka, Bangladesh",,"4,500.00৳",Apartment
1400,1,2,3,1,5th,,"Mirpur, Dhaka, Bangladesh",,Negotiable,Apartment
1310,3,3,3,,1st,,"Bashundhara RA, Dhaka, Bangladesh",20,"7,000.00৳",Apartment
1400,1,1,3,1,4th,,"Mirpur, Dhaka, Bangladesh",1,Negotiable,Apartment
1550,2,2,3,1,2nd,,"Bashundhara RA, Dhaka, Bangladesh",1,Negotiable,Apartment
1550,3,2,3,,2nd,,"Bashundhara RA, Dhaka, Bangladesh",1,Negotiable,Apartment
5250,4,2,4,1,11th,,"Gulshan 1, Dhaka, Bangladesh",2,"25,000.00৳",Apartment
1151,2,1,3,,1st,,"Bashundhara RA, Dhaka, Bangladesh",1,Negotiable,Apartment
1300,3,3,4,1,2nd,,"Mirpur, Dhaka, Bangladesh",1,Negotiable,Apartment
1620,2,,3,1,3rd,,"Mirpur, Dhaka, Bangladesh",1,"4,500.00৳",Apartment
1800,2,3,4,1,8th,,"Mirpur, Dhaka, Bangladesh",1,"4,888.00৳",Apartment
1800,2,3,3,1,4th,,"Mirpur, Dhaka, Bangladesh",1,"8,334.00৳",Apartment
1290,2,3,3,1,4th,,"Mirpur, Dhaka, Bangladesh",,"5,500.00৳",Apartment
1000,2,2,3,,5th,,"Banashree, Dhaka, Bangladesh",,Negotiable,Apartment
2,2,2,3,1,2nd,,"Turag, Dhaka, Bangladesh",6,"4,500.00৳",Apartment
1000,2,2,3,,2nd,,"Banashree, Dhaka, Bangladesh",,Negotiable,Apartment
1150,2,2,3,1,5th,,"Banashree, Dhaka, Bangladesh",1,"5,000.00৳",Apartment
360,1,1,1,,4th,,"Mirpur, Dhaka, Bangladesh",,"3,000.00৳",Apartment
1300,2,2,3,1,4th,,"Banashree, Dhaka, Bangladesh",1,Negotiable,Apartment
1250,3,3,3,,6th,,"Bashundhara RA, Dhaka, Bangladesh",1,Negotiable,Apartment
1600,3,2,3,,4th,,"Banashree, Dhaka, Bangladesh",,Negotiable,Apartment
1975,3,1,3,,1st,,"Dhanmondi, Dhaka, Bangladesh",1,Negotiable,Apartment
1200,3,2,3,,8th,,"Mirpur, Dhaka, Bangladesh",1,Negotiable,Apartment
1510,2,3,3,1,5th,,"Badda, Dhaka, Bangladesh",1,"5,800.00৳",Apartment
1000,3,1,3,,2nd,,"Badda, Dhaka, Bangladesh",1,Negotiable,Apartment
4700,4,3,4,,5th,,"Gulshan 1, Dhaka, Bangladesh",2,"12,000.00৳",Apartment
1200,2,3,3,1,5th,,"Keraniganj, Dhaka, Bangladesh",3,"2,750.00৳",Apartment
750,1,2,2,1,4th,,"Adabor, Dhaka, Bangladesh",,Negotiable,Apartment
2700,3,5,3,1,5th,,"Ramna, Dhaka, Bangladesh",,"11,000.00৳",Apartment
2040,3,,4,1,8th,,"Kalabagan, Dhaka, Bangladesh",,Negotiable,Apartment
1500,2,3,3,1,5th,,"Mohammadpur , Dhaka, Bangladesh",,Negotiable,Apartment
