area,floor,location,parking,price_per_month,price_per_sft,property_type,total_floor,,
D-12,Ground,"Rajbari Sadar, Rajbari, Bangladesh",Ready,,"1,000.00৳",Commercial Space,3000,,
Ready,Ground,"Manikganj Sadar, Manikganj, Bangladesh",Raw,,"1,40,00,000.00৳",Commercial Space,320166,,
Ready,4th,"Malibagh, Dhaka, Bangladesh",Raw,,"10,000.00৳",Commercial Space,938,,
4500,Ground,"Mohammadpur , Dhaka, Bangladesh",Justice Abdullah Tower,,"25,000.00৳",Commercial Space,4,,
4000,Ground,"Moghbazar, Dhaka, Bangladesh",1,,Negotiable,Commercial Space,8,,
1,1st,"Chattogram City, Chattogram, Bangladesh",Shohag Monjil,,"3,380.00৳",Commercial Space,1627,,
Ready,Ground,"Khilkhet, Dhaka, Bangladesh",Finished,,Negotiable,Commercial Space,1000,,
Ready,2nd,"Kallaynpur, Dhaka, Bangladesh",Raw,,"5,769.00৳",Commercial Space,1300,,
Ready,3rd,"Chattogram City, Chattogram, Bangladesh",Finished,,"25,000.00৳",Commercial Space,1300,,
Ready,Ground,"Dhamrai, Dhaka, Bangladesh",Raw,,"50,000.00৳",Commercial Space,5000,,
Ready,Ground,"Khilkhet, Dhaka, Bangladesh",Finished,,300.00৳,Commercial Space,1200,,
2600,3rd,"Rampura, Dhaka, Bangladesh",1,,Negotiable,Commercial Space,12,,
2,4th,"Sylhet City, Sylhet, Bangladesh",Ali complex,,"6,500.00৳",Commercial Space,5800,,
1,3rd,"Ramna, Dhaka, Bangladesh",Fakre-Nur ABN,,Negotiable,Commercial Space,4200,,
3153,3rd,"Kakrail, Dhaka, Bangladesh",Sahara Center,,Negotiable,Commercial Space,12,,
Ready,Ground,"Savar, Dhaka, Bangladesh",Raw,,"3,000.00৳",Commercial Space,88,,
40000,Ground,"Cumilla City, Cumilla, Bangladesh",Ready,,Negotiable,Commercial Space,2,,
446,6th,", , ",3,,"6,000.00৳",Commercial Space,10,,
Ready,6th,"Rajshahi City, Rajshahi, Bangladesh",Raw,,"14,50,000.00৳",Commercial Space,180,,
1,3rd,"Ramna, Dhaka, Bangladesh",Fakre-Nur ABN,,Negotiable,Commercial Space,4200,,
1,2nd,"Chattogram City, Chattogram, Bangladesh",Ready,,"2,50,000.00৳",Commercial Space,200,,
